id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1023171014,MORRIS,RAY,METFORMIN HCL,989.56
1114997889,RASHID,BONNIE,NOVOLOG,2580.27
1477551661,MARQUARDT,RUSSELL,MYRBETRIQ,4561.69
1770768459,NAYAR,SANKARAN,AMLODIPINE BESYLATE,911.29
1679560700,PARKS,SANDRA,FAMOTIDINE,136.42
1215953914,OH,YEONG,AMLODIPINE BESYLATE,4664.37
1205820289,ROBERTS,WILLIAM,BENICAR,18869.43
1639510597,OBERMILLER,KATELYN,SPIRONOLACTONE,311.97
1609987510,QUISLING,STEWART,CLONAZEPAM,107.37
1508827700,PARROTT,ROBERT,FINASTERIDE,220.39
1982701959,MATHIESON,ROBERT,OMEPRAZOLE,1208.16
1659336790,BOUCHARD,ALAIN,CLOPIDOGREL,14060.09
1598763823,MARTIN,JAMES,FLUTICASONE PROPIONATE,353.56
1821081365,MULLENDORE,SEAN,HYDROCODONE-ACETAMINOPHEN,512.38
1679640080,PATT,RICHARD,COUMADIN,774.46
1487817672,NOOR,FAZLE,ALLOPURINOL,381.43
1508882903,MAJID,TAHIR,ATENOLOL-CHLORTHALIDONE,208.53
1427199207,FONTENOT,THOMAS,ATORVASTATIN CALCIUM,1982.11
1346258464,KARIM,KHALID,FENOFIBRATE,1125.62
1952369555,ZIFCAK,SARAH,LYRICA,9638.55
1174511992,COLVIN,RACHEL,SIMVASTATIN,551.27
1407860919,GABRIEL,STEVEN,NASONEX,2347.77
1760490528,THOMPSON,JOHN,BD ULTRA-FINE PEN NEEDLE,927.95
1518981406,HARMON,HAROLD,HYDRALAZINE HCL,423.0
1154364107,ROSS RIVERA,LORENZO,TEMAZEPAM,275.64
1326140948,KITTLEY,RIMA,MINOCYCLINE HCL,1233.94
1316944556,HAGAN,WILLIAM,MORPHINE SULFATE ER,447.81
1124149927,GHASSEMI,ALI,RESTASIS,4941.01
1053307264,WILLS,PATRICK,CLONIDINE,3101.46
1528029907,STOWE-CARPENTER,BARBARA,TOPIRAMATE,250.96
1952341471,TINKEL,JODI,FUROSEMIDE,1255.71
1780603613,ANTON,JOHN,GLIMEPIRIDE,646.11
1821329251,COHN,SARAH,ATORVASTATIN CALCIUM,121.35
1790790442,GELORMINI,JOSEPH,METOPROLOL SUCCINATE,6599.77
1639115397,HANNA,YOUSSEF,ACYCLOVIR,1554.37
1437358702,MASAYESVA,BRETT,CARVEDILOL,236.8
1750341012,WATERS,DAN,WARFARIN SODIUM,7364.11
1528138336,GARDUNO,LEONARDO,FLOVENT HFA,2928.39
1790772580,KAICHI,AARON,ALENDRONATE SODIUM,1017.96
1730140005,HUFFMAN,CHRISTINE,PREDNISONE,35.61
1386647196,EGELHOF,RICHARD,ROPINIROLE HCL,632.84
1689643124,NAOUMI,MANHAL,LYRICA,8754.69
1063775765,DEJESUS,CRYSTAL,FLUTICASONE PROPIONATE,1422.37
1861448961,CHAN,GINIE,SERTRALINE HCL,89.36
1265411938,GLENN,ROBERT,MIRTAZAPINE,719.14
1972654093,LEWIS,THOMAS,GABAPENTIN,590.35
1225008402,SHEHATA,HANY,RISPERIDONE,1317.03
1104836881,HUSTON,GARY,SPIRONOLACTONE,893.9
1255683017,ZIMMERMAN,CHRISTINE,ALENDRONATE SODIUM,98.48
